# Double-wishbone hardpoints, front view. Units: metres. y = lateral (outboard +), z = up.
# First 5 rows are required (wishbone). Last 5 are optional (pushrod+rocker+damper -> motion ratio).
name,y,z
lca_inboard,0.240260,0.118850
uca_inboard,0.322560,0.303700
lower_ball_joint,0.51626,0.139330
upper_ball_joint,0.495745,0.355738
contact_patch,0.585,0.00
pushrod_outboard,0.478410,0.154470
rocker_pivot,0.304450,0.340620
rocker_pushrod,0.378880,0.371610
rocker_damper,0.373710,0.402970
damper_inboard,0.253899,0.538541
